id,date,amount,currency,payer,reference,invoice_id,notes
PAY-E001,2024-01-08,120.00,USD,Main Operating Account,Payment for INV-1001,INV-1001,ACH settlement
PAY-E002,2024-01-10,155.00,USD,Main Operating Account,Payment for INV-1002,INV-1002,ACH settlement
PAY-E003,2024-01-12,190.00,USD,Main Operating Account,Payment for INV-1003,INV-1003,ACH settlement
PAY-E004,2024-01-14,225.00,USD,Main Operating Account,Payment for INV-1004,INV-1004,ACH settlement
PAY-E005,2024-01-16,260.00,USD,Main Operating Account,Payment for INV-1005,INV-1005,ACH settlement
PAY-E006,2024-01-18,295.00,USD,Main Operating Account,Payment for INV-1006,INV-1006,ACH settlement
PAY-E007,2024-01-20,330.00,USD,Main Operating Account,Payment for INV-1007,INV-1007,ACH settlement
PAY-E008,2024-01-22,365.00,USD,Main Operating Account,Payment for INV-1008,INV-1008,ACH settlement
PAY-E009,2024-01-24,400.00,USD,Main Operating Account,Payment for INV-1009,INV-1009,ACH settlement
PAY-E010,2024-01-26,435.00,USD,Main Operating Account,Payment for INV-1010,INV-1010,ACH settlement
PAY-E011,2024-01-28,140.00,USD,Main Operating Account,Payment for INV-1011,INV-1011,ACH settlement
PAY-E012,2024-01-30,175.00,USD,Main Operating Account,Payment for INV-1012,INV-1012,ACH settlement
PAY-E013,2024-02-01,210.00,USD,Main Operating Account,Payment for INV-1013,INV-1013,ACH settlement
PAY-E014,2024-02-03,245.00,USD,Main Operating Account,Payment for INV-1014,INV-1014,ACH settlement
PAY-E015,2024-02-05,280.00,USD,Main Operating Account,Payment for INV-1015,INV-1015,ACH settlement
PAY-E016,2024-02-07,315.00,USD,Main Operating Account,Payment for INV-1016,INV-1016,ACH settlement
PAY-E017,2024-02-09,350.00,USD,Main Operating Account,Payment for INV-1017,INV-1017,ACH settlement
PAY-E018,2024-02-11,385.00,USD,Main Operating Account,Payment for INV-1018,INV-1018,ACH settlement
PAY-E019,2024-02-13,420.00,USD,Main Operating Account,Payment for INV-1019,INV-1019,ACH settlement
PAY-E020,2024-02-15,455.00,USD,Main Operating Account,Payment for INV-1020,INV-1020,ACH settlement
PAY-D01-1,2024-02-16,160.00,USD,Main Operating Account,Duplicate processing INV-1021,INV-1021,Potential duplicate capture
PAY-D01-2,2024-02-17,160.00,USD,Main Operating Account,Duplicate processing INV-1021,INV-1021,Potential duplicate capture
PAY-D02-1,2024-02-18,195.00,USD,Main Operating Account,Duplicate processing INV-1022,INV-1022,Potential duplicate capture
PAY-D02-2,2024-02-19,195.00,USD,Main Operating Account,Duplicate processing INV-1022,INV-1022,Potential duplicate capture
PAY-D03-1,2024-02-20,230.00,USD,Main Operating Account,Duplicate processing INV-1023,INV-1023,Potential duplicate capture
PAY-D03-2,2024-02-21,230.00,USD,Main Operating Account,Duplicate processing INV-1023,INV-1023,Potential duplicate capture
PAY-D04-1,2024-02-22,265.00,USD,Main Operating Account,Duplicate processing INV-1024,INV-1024,Potential duplicate capture
PAY-D04-2,2024-02-23,265.00,USD,Main Operating Account,Duplicate processing INV-1024,INV-1024,Potential duplicate capture
PAY-D05-1,2024-02-24,300.00,USD,Main Operating Account,Duplicate processing INV-1025,INV-1025,Potential duplicate capture
PAY-D05-2,2024-02-25,300.00,USD,Main Operating Account,Duplicate processing INV-1025,INV-1025,Potential duplicate capture
PAY-D06-1,2024-02-26,335.00,USD,Main Operating Account,Duplicate processing INV-1026,INV-1026,Potential duplicate capture
PAY-D06-2,2024-02-27,335.00,USD,Main Operating Account,Duplicate processing INV-1026,INV-1026,Potential duplicate capture
PAY-D07-1,2024-02-28,370.00,USD,Main Operating Account,Duplicate processing INV-1027,INV-1027,Potential duplicate capture
PAY-D07-2,2024-02-29,370.00,USD,Main Operating Account,Duplicate processing INV-1027,INV-1027,Potential duplicate capture
PAY-D08-1,2024-03-01,405.00,USD,Main Operating Account,Duplicate processing INV-1028,INV-1028,Potential duplicate capture
PAY-D08-2,2024-03-02,405.00,USD,Main Operating Account,Duplicate processing INV-1028,INV-1028,Potential duplicate capture
PAY-D09-1,2024-03-03,440.00,USD,Main Operating Account,Duplicate processing INV-1029,INV-1029,Potential duplicate capture
PAY-D09-2,2024-03-04,440.00,USD,Main Operating Account,Duplicate processing INV-1029,INV-1029,Potential duplicate capture
PAY-D10-1,2024-03-05,475.00,USD,Main Operating Account,Duplicate processing INV-1030,INV-1030,Potential duplicate capture
PAY-D10-2,2024-03-06,475.00,USD,Main Operating Account,Duplicate processing INV-1030,INV-1030,Potential duplicate capture
